GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description
320,5.89E-11,2.06E-11,0.286,-6.702,-1.918841,66.93,APBA1,amyloid beta precursor protein binding family A member 1
107986400,5.92E-11,2.07E-11,0.466,-6.70123,-3.125625,31.6,LOC107986400,uncharacterized LOC107986400
28231,5.95E-11,2.08E-11,0.315,-6.70051,-2.11391,84.66,SLCO4A1,solute carrier organic anion transporter family member 4A1
23414,5.95E-11,2.08E-11,0.334,-6.70049,-2.237655,56.13,ZFPM2,"zinc finger protein, FOG family member 2"
166752,5.96E-11,2.08E-11,0.478,-6.7004,-3.204665,31.06,FREM3,FRAS1 related extracellular matrix 3
105370540,5.99E-11,2.09E-11,0.318,-6.69962,-2.129043,55.9,LINC02290,long intergenic non-protein coding RNA 2290
441234,6.00E-11,2.10E-11,0.543,-6.69919,-3.640886,29.13,ZNF716,zinc finger protein 716
619563,6.01E-11,2.10E-11,0.687,6.69903,4.598982,19.41,SNORA7A,"small nucleolar RNA, H/ACA box 7A"
9013,6.02E-11,2.10E-11,0.223,6.69889,1.493412,132.74,TAF1C,"TATA-box binding protein associated factor, RNA polymerase I subunit C"
3973,6.03E-11,2.11E-11,0.452,-6.69841,-3.028933,31.55,LHCGR,luteinizing hormone/choriogonadotropin receptor
100505771,6.06E-11,2.12E-11,0.414,6.69784,2.77269,36.9,MHENCR,melanoma highly expressed competing endogenous lncRNA for miR-425 and miR-489
387640,6.06E-11,2.12E-11,0.365,-6.69773,-2.44507,43.21,SKIDA1,SKI/DACH domain containing 1
693208,6.07E-11,2.12E-11,0.649,6.69754,4.346139,18.98,MIR623,microRNA 623
284274,6.07E-11,2.12E-11,0.324,-6.6975,-2.168717,51.14,SMIM21,small integral membrane protein 21
107986431,6.10E-11,2.13E-11,0.578,6.69688,3.873652,24.18,LOC107986431,
107984117,6.12E-11,2.14E-11,0.473,-6.6962,-3.16761,32.42,LINC02058,long intergenic non-protein coding RNA 2058
4538,6.13E-11,2.14E-11,0.859,6.69599,5.750755,2172.6,ND4,NADH dehydrogenase subunit 4
5470,6.19E-11,2.16E-11,0.388,-6.69469,-2.599035,39.62,PPEF2,protein phosphatase with EF-hand domain 2
6419,6.19E-11,2.16E-11,0.243,6.69462,1.627412,122.8,SETMAR,SET domain and mariner transposase fusion gene
79174,6.19E-11,2.16E-11,0.252,6.69458,1.684133,99.97,CRELD2,cysteine rich with EGF like domains 2
100652758,6.20E-11,2.17E-11,0.35,6.69438,2.345469,40.17,LOC100652758,uncharacterized LOC100652758
115201,6.28E-11,2.19E-11,0.371,6.69249,2.484434,77.65,ATG4A,autophagy related 4A cysteine peptidase
103504727,6.35E-11,2.22E-11,0.391,-6.69078,-2.612782,89.97,MIR6724-2,microRNA 6724-2
26007,6.39E-11,2.24E-11,0.205,6.68977,1.374068,187.1,TKFC,triokinase and FMN cyclase
286234,6.47E-11,2.26E-11,0.438,-6.68801,-2.932075,33.59,SPATA31E1,SPATA31 subfamily E member 1
105377616,6.52E-11,2.28E-11,0.466,-6.68689,-3.119124,31.62,LOC105377616,uncharacterized LOC105377616
100309464,6.54E-11,2.29E-11,0.524,-6.6865,-3.504821,29.45,OTX2-AS1,OTX2 antisense RNA 1 (head to head)
105379082,6.54E-11,2.29E-11,0.463,-6.68636,-3.094899,32.74,LOC105379082,uncharacterized LOC105379082
105221694,6.55E-11,2.29E-11,0.281,6.68622,1.881747,77.18,BISPR,BST2 interferon stimulated positive regulator
100509620,6.56E-11,2.29E-11,0.369,-6.686,-2.470446,45.98,AQP7B,aquaporin 7B
105370753,6.56E-11,2.29E-11,0.408,-6.68598,-2.725183,36.23,LOC105370753,uncharacterized LOC105370753
84989,6.63E-11,2.32E-11,0.366,6.68441,2.445986,32.17,JMJD1C-AS1,JMJD1C antisense RNA 1
4288,6.64E-11,2.32E-11,0.25,6.68415,1.669534,349.73,MKI67,marker of proliferation Ki-67
128209,6.66E-11,2.33E-11,0.35,-6.68363,-2.341487,47.25,KLF17,KLF transcription factor 17
3239,6.67E-11,2.33E-11,0.382,-6.68346,-2.551675,42.74,HOXD13,homeobox D13
28832,6.69E-11,2.34E-11,0.517,6.68292,3.455306,29.97,IGLJ2,immunoglobulin lambda joining 2
51004,6.74E-11,2.36E-11,0.255,6.68196,1.70387,73.44,COQ6,"coenzyme Q6, monooxygenase"
440073,6.76E-11,2.37E-11,0.299,-6.68148,-1.996509,91.95,IQSEC3,IQ motif and Sec7 domain ArfGEF 3
126205,6.76E-11,2.37E-11,0.426,-6.68147,-2.844894,35.07,NLRP8,NLR family pyrin domain containing 8
10716,6.84E-11,2.39E-11,0.49,-6.67978,-3.273517,29.92,TBR1,T-box brain transcription factor 1
56603,6.88E-11,2.41E-11,0.389,-6.67887,-2.596966,38.37,CYP26B1,cytochrome P450 family 26 subfamily B member 1
84247,6.89E-11,2.41E-11,0.246,6.67865,1.642509,123.63,RTL6,retrotransposon Gag like 6
84059,6.92E-11,2.43E-11,0.251,-6.67783,-1.676213,108.92,ADGRV1,adhesion G protein-coupled receptor V1
100130872,6.93E-11,2.43E-11,0.252,6.67764,1.682153,127.55,LOC100130872,uncharacterized LOC100130872
101929507,6.96E-11,2.44E-11,0.415,-6.67701,-2.772438,43.48,LOC101929507,uncharacterized LOC101929507
116534,7.01E-11,2.46E-11,0.492,-6.67601,-3.283409,30.3,MRGPRE,MAS related GPR family member E
101927179,7.01E-11,2.46E-11,0.496,6.67599,3.311631,23.99,LOC101927179,uncharacterized LOC101927179
100507657,7.02E-11,2.46E-11,0.341,-6.67586,-2.277543,46.7,LINC02554,long intergenic non-protein coding RNA 2554
60495,7.02E-11,2.46E-11,0.383,-6.67585,-2.553617,43.25,HPSE2,heparanase 2 (inactive)
101928578,7.02E-11,2.46E-11,0.327,6.67583,2.17987,46.4,RAP2C-AS1,RAP2C antisense RNA 1
112268071,7.05E-11,2.47E-11,0.418,-6.67518,-2.789919,35.78,LOC112268071,uncharacterized LOC112268071
221416,7.07E-11,2.48E-11,0.361,-6.67468,-2.410056,44.71,LINC03040,long intergenic non-protein coding RNA 3040
3751,7.08E-11,2.48E-11,0.442,-6.67448,-2.948008,31.95,KCND2,potassium voltage-gated channel subfamily D member 2
41,7.08E-11,2.48E-11,0.314,-6.6744,-2.093739,56.76,ASIC1,acid sensing ion channel subunit 1
26154,7.10E-11,2.49E-11,0.343,-6.674,-2.289244,57.5,ABCA12,ATP binding cassette subfamily A member 12
124401,7.18E-11,2.52E-11,0.217,6.67243,1.445988,134.2,ANKS3,ankyrin repeat and sterile alpha motif domain containing 3
283487,7.20E-11,2.53E-11,0.328,-6.67187,-2.18699,49.27,PRECSIT,p53 regulated carcinoma associated Stat3 activating long intergenic non-protein coding transcript
64901,7.20E-11,2.53E-11,0.396,6.67183,2.641844,325,RANBP17,RAN binding protein 17
23120,7.22E-11,2.53E-11,0.282,-6.67148,-1.881023,73.13,ATP10B,ATPase phospholipid transporting 10B (putative)
107984442,7.32E-11,2.57E-11,0.324,6.66938,2.161003,49,LOC107984442,
153201,7.33E-11,2.57E-11,0.407,-6.66922,-2.713376,35.81,SLC36A2,solute carrier family 36 member 2
222584,7.35E-11,2.58E-11,0.503,-6.66887,-3.351724,29.01,FAM83B,family with sequence similarity 83 member B
23647,7.36E-11,2.58E-11,0.232,6.66854,1.548204,122.8,ARFIP2,ADP ribosylation factor interacting protein 2
221438,7.37E-11,2.58E-11,0.664,6.6685,4.428634,20.29,TREML5P,"triggering receptor expressed on myeloid cells like 5, pseudogene"
4358,7.37E-11,2.59E-11,0.21,6.66838,1.402835,154.38,MPV17,mitochondrial inner membrane protein MPV17
3270,7.41E-11,2.60E-11,0.462,-6.66766,-3.079397,32.62,HRC,histidine rich calcium binding protein
221395,7.41E-11,2.60E-11,0.377,-6.66756,-2.514672,40.96,ADGRF5,adhesion G protein-coupled receptor F5
27036,7.42E-11,2.60E-11,0.292,6.6674,1.948406,71.65,SIGLEC7,sialic acid binding Ig like lectin 7
374659,7.43E-11,2.61E-11,0.3,6.66724,2.002345,68.68,HDDC3,HD domain containing 3
107986780,7.46E-11,2.62E-11,0.306,-6.66665,-2.039404,60.72,LOC107986780,
100506688,7.46E-11,2.62E-11,0.472,-6.66653,-3.148879,33.72,LINC02982,long intergenic non-protein coding RNA 2982
9564,7.48E-11,2.62E-11,0.385,-6.66624,-2.5643,53.94,BCAR1,"BCAR1 scaffold protein, Cas family member"
64399,7.52E-11,2.64E-11,0.387,-6.66543,-2.582319,37.69,HHIP,hedgehog interacting protein
101929823,7.60E-11,2.67E-11,0.262,6.66387,1.744581,88.92,LOC101929823,uncharacterized LOC101929823
10089,7.63E-11,2.68E-11,0.372,6.66318,2.477194,42.31,KCNK7,potassium two pore domain channel subfamily K member 7
107984125,7.66E-11,2.69E-11,0.575,-6.66262,-3.828816,29.64,LOC107984125,replaced by ID 6101
63950,7.66E-11,2.69E-11,0.622,-6.66254,-4.145192,28.19,DMRTA2,DMRT like family A2
1031,7.74E-11,2.72E-11,0.292,6.66106,1.948342,55.97,CDKN2C,cyclin dependent kinase inhibitor 2C
22844,7.76E-11,2.73E-11,0.34,-6.6607,-2.262455,63.92,FRMPD1,FERM and PDZ domain containing 1
112268175,7.82E-11,2.75E-11,0.415,-6.65945,-2.760936,35.13,LOC112268175,uncharacterized LOC112268175
340554,7.84E-11,2.76E-11,0.309,6.65904,2.058559,197.05,ZC3H12B,zinc finger CCCH-type containing 12B
105370668,7.85E-11,2.76E-11,0.405,-6.65888,-2.69389,38.77,LOC105370668,uncharacterized LOC105370668
101928020,7.87E-11,2.77E-11,0.325,6.65848,2.160729,50.03,KANSL1L-AS1,KANSL1L antisense RNA 1
107985850,7.89E-11,2.77E-11,0.543,6.6582,3.616974,20.32,LOC107985850,
101928752,7.91E-11,2.78E-11,0.461,-6.65781,-3.070618,34.72,LINC01043,long intergenic non-protein coding RNA 1043
8715,7.93E-11,2.79E-11,0.392,-6.65737,-2.612209,36.76,NOL4,nucleolar protein 4
107986674,7.94E-11,2.79E-11,0.502,-6.65714,-3.33864,28.87,LOC107986674,uncharacterized LOC107986674
282996,7.94E-11,2.79E-11,0.312,-6.65715,-2.073948,94.81,RBM20,RNA binding motif protein 20
4038,7.97E-11,2.80E-11,0.273,-6.65655,-1.816398,113.81,LRP4,LDL receptor related protein 4
11153,8.00E-11,2.81E-11,0.282,6.65599,1.874137,61.9,FICD,FIC domain protein adenylyltransferase
102724165,8.04E-11,2.83E-11,0.399,-6.65535,-2.652179,37.75,LINC02703,long intergenic non-protein coding RNA 2703
341676,8.06E-11,2.84E-11,0.302,-6.65488,-2.009135,65.03,NEK5,NIMA related kinase 5
105372255,8.08E-11,2.84E-11,0.523,-6.65453,-3.479971,28.67,LOC105372255,uncharacterized LOC105372255
26830,8.09E-11,2.84E-11,0.812,6.65438,5.400331,22.19,RNU5D-1,"RNA, U5D small nuclear 1"
1582,8.11E-11,2.85E-11,0.421,-6.65399,-2.799453,34.45,CYP8B1,cytochrome P450 family 8 subfamily B member 1
105372926,8.12E-11,2.86E-11,0.466,-6.65382,-3.102622,35.2,LOC105372926,uncharacterized LOC105372926
56919,8.25E-11,2.90E-11,0.259,6.65133,1.722582,123.47,DHX33,DEAH-box helicase 33
100847079,8.26E-11,2.91E-11,0.796,6.6512,5.295871,20.49,MIR5193,microRNA 5193
100500842,8.35E-11,2.94E-11,0.743,6.64954,4.942293,20.55,MIR3652,microRNA 3652
256815,8.36E-11,2.94E-11,0.352,-6.64946,-2.342143,45.91,C10orf67,chromosome 10 open reading frame 67
105377478,8.39E-11,2.95E-11,0.436,-6.64882,-2.900888,33.06,LOC105377478,replaced by ID 121009648
4589,8.41E-11,2.96E-11,0.421,-6.64851,-2.799388,34.44,MUC7,"mucin 7, secreted"
9232,8.44E-11,2.97E-11,0.346,6.64803,2.297994,39.14,PTTG1,"PTTG1 regulator of sister chromatid separation, securin"
8555,8.56E-11,3.01E-11,0.229,6.64594,1.522047,181.1,CDC14B,cell division cycle 14B
7003,8.60E-11,3.03E-11,0.339,-6.6451,-2.252416,50.53,TEAD1,TEA domain transcription factor 1
641455,8.61E-11,3.03E-11,0.358,-6.64501,-2.37933,48.87,POTEM,POTE ankyrin domain family member M
284184,8.63E-11,3.04E-11,0.316,6.64471,2.100763,52.2,NDUFAF8,NADH:ubiquinone oxidoreductase complex assembly factor 8
493860,8.64E-11,3.04E-11,0.31,6.64451,2.059769,59.03,CCDC73,coiled-coil domain containing 73
5167,8.69E-11,3.06E-11,0.363,-6.64351,-2.409884,43.53,ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1
81035,8.72E-11,3.07E-11,0.433,-6.64316,-2.874317,41.98,COLEC12,collectin subfamily member 12
105379117,8.74E-11,3.08E-11,0.45,-6.64278,-2.98992,33.17,LOC105379117,uncharacterized LOC105379117
29098,8.75E-11,3.08E-11,0.389,6.6426,2.583086,29.53,RANGRF,RAN guanine nucleotide release factor
5563,8.75E-11,3.08E-11,0.416,-6.6425,-2.764626,36.76,PRKAA2,protein kinase AMP-activated catalytic subunit alpha 2
149420,8.80E-11,3.10E-11,0.249,6.64165,1.65047,101.29,PDIK1L,PDLIM1 interacting kinase 1 like
22998,8.98E-11,3.17E-11,0.315,-6.63864,-2.090449,68.94,LIMCH1,LIM and calponin homology domains 1
26589,8.98E-11,3.17E-11,0.361,6.63862,2.394077,36.67,MRPL46,mitochondrial ribosomal protein L46
105375581,9.00E-11,3.17E-11,0.48,-6.63837,-3.185747,30.41,LOC105375581,uncharacterized LOC105375581
27012,9.00E-11,3.17E-11,0.453,-6.63831,-3.0082,31.34,KCNV1,potassium voltage-gated channel modifier subfamily V member 1
26958,9.01E-11,3.18E-11,0.278,6.63812,1.84597,75.72,COPG2,COPI coat complex subunit gamma 2
9132,9.03E-11,3.18E-11,0.346,-6.63788,-2.299176,48.62,KCNQ4,potassium voltage-gated channel subfamily Q member 4
440416,9.04E-11,3.19E-11,0.471,-6.63763,-3.125851,31.83,CCDC144NL-AS1,CCDC144NL antisense RNA 1
4255,9.08E-11,3.20E-11,0.238,6.63701,1.578984,94.99,MGMT,O-6-methylguanine-DNA methyltransferase
6575,9.10E-11,3.21E-11,0.217,6.63655,1.438704,177.75,SLC20A2,solute carrier family 20 member 2
8270,9.12E-11,3.22E-11,0.433,6.63622,2.876243,29.73,LAGE3,L antigen family member 3
402160,9.13E-11,3.22E-11,0.451,-6.63606,-2.994026,33.1,CFAP99,cilia and flagella associated protein 99
54762,9.15E-11,3.23E-11,0.334,6.63584,2.218582,84.74,GRAMD1C,GRAM domain containing 1C
90835,9.16E-11,3.23E-11,0.336,6.63567,2.232521,40.6,CFAP119,cilia and flagella associated protein 119
1006,9.19E-11,3.24E-11,0.367,-6.63511,-2.435037,50.22,CDH8,cadherin 8
3601,9.19E-11,3.24E-11,0.275,6.63508,1.824663,114.8,IL15RA,interleukin 15 receptor subunit alpha
105370795,9.22E-11,3.25E-11,0.409,6.6346,2.715282,27.13,VPS39-DT,VPS39 divergent transcript
100189347,9.23E-11,3.26E-11,1.077,6.6344,7.142478,36.24,TRD-GTC2-10,tRNA-Asp (anticodon GTC) 2-10
59341,9.26E-11,3.27E-11,0.284,-6.63386,-1.88511,68.99,TRPV4,transient receptor potential cation channel subfamily V member 4
256472,9.31E-11,3.29E-11,0.568,-6.63312,-3.768758,28.39,TMEM151A,transmembrane protein 151A
1600,9.34E-11,3.30E-11,0.327,-6.63263,-2.16714,54.62,DAB1,DAB adaptor protein 1
7100,9.35E-11,3.30E-11,0.314,6.63237,2.083932,146.14,TLR5,toll like receptor 5
105375690,9.35E-11,3.30E-11,0.473,-6.63238,-3.139812,31.74,LOC105375690,uncharacterized LOC105375690
107984629,9.38E-11,3.31E-11,0.515,-6.63197,-3.414057,30.36,LOC107984629,
57701,9.49E-11,3.35E-11,0.228,6.63017,1.510706,134.75,NCKAP5L,NCK associated protein 5 like
100500818,9.51E-11,3.36E-11,0.826,6.62989,5.473625,23.43,MIR3945,microRNA 3945
79661,9.52E-11,3.36E-11,0.213,6.62973,1.413693,167.45,NEIL1,nei like DNA glycosylase 1
9332,9.60E-11,3.39E-11,0.297,6.62856,1.96961,132.27,CD163,CD163 molecule
101929145,9.62E-11,3.40E-11,0.273,6.62812,1.810079,76.86,PPP3CB-AS1,PPP3CB antisense RNA 1 (head to head)
91949,9.66E-11,3.41E-11,0.24,6.62762,1.593059,99.27,COG7,component of oligomeric golgi complex 7
8139,9.66E-11,3.41E-11,0.247,6.62747,1.638211,109.04,GAN,gigaxonin
100302139,9.71E-11,3.43E-11,0.737,6.62681,4.885921,19.59,MIR1537,microRNA 1537
84219,9.78E-11,3.45E-11,0.255,6.62575,1.68964,86.78,WDR24,WD repeat domain 24
375316,9.85E-11,3.48E-11,0.258,6.62466,1.709618,107.18,RBM44,RNA binding motif protein 44
50617,9.85E-11,3.48E-11,0.399,-6.62453,-2.642375,38.82,ATP6V0A4,ATPase H+ transporting V0 subunit a4
102723701,9.86E-11,3.49E-11,0.347,6.62442,2.300419,52.75,LOC102723701,uncharacterized LOC102723701
4868,9.90E-11,3.50E-11,0.306,-6.62379,-2.02478,65.12,NPHS1,"NPHS1 adhesion molecule, nephrin"
10517,9.95E-11,3.52E-11,0.355,-6.62313,-2.353262,43.65,FBXW10,F-box and WD repeat domain containing 10
10217,9.97E-11,3.53E-11,0.244,6.62278,1.615143,113.28,CTDSPL,CTD small phosphatase like
79590,9.98E-11,3.53E-11,0.304,6.62257,2.012728,47.66,MRPL24,mitochondrial ribosomal protein L24
29904,1.00E-10,3.54E-11,0.198,6.62213,1.309279,234.86,EEF2K,eukaryotic elongation factor 2 kinase
55270,1.00E-10,3.55E-11,0.233,6.62168,1.542939,103.15,NUDT15,nudix hydrolase 15
729178,1.00E-10,3.55E-11,0.271,6.62162,1.791878,77.19,STXBP5-AS1,STXBP5 antisense RNA 1
51241,1.01E-10,3.57E-11,0.346,6.62104,2.29293,34.68,COX16,cytochrome c oxidase assembly factor COX16
105370509,1.01E-10,3.57E-11,0.454,6.6209,3.0087,26.68,FBXO34-AS1,FBXO34 antisense RNA 1
1353,1.01E-10,3.57E-11,0.206,6.62073,1.365738,172.91,COX11,cytochrome c oxidase copper chaperone COX11
105378589,1.03E-10,3.63E-11,0.377,-6.61855,-2.496046,46.92,LOC105378589,uncharacterized LOC105378589
4772,1.03E-10,3.65E-11,0.253,6.61759,1.671124,194.8,NFATC1,nuclear factor of activated T cells 1
4185,1.04E-10,3.67E-11,0.334,-6.61688,-2.207825,58.77,ADAM11,ADAM metallopeptidase domain 11
8521,1.04E-10,3.67E-11,0.242,6.61686,1.601996,130.53,GCM1,glial cells missing transcription factor 1
9015,1.04E-10,3.69E-11,0.281,6.6161,1.859677,74.48,TAF1A,"TATA-box binding protein associated factor, RNA polymerase I subunit A"
105370783,1.04E-10,3.70E-11,0.322,-6.61577,-2.128486,64.8,LOC105370783,uncharacterized LOC105370783
646300,1.05E-10,3.71E-11,0.314,-6.6152,-2.079364,57.17,COL6A4P2,collagen type VI alpha 4 pseudogene 2
1281,1.05E-10,3.72E-11,0.453,-6.61486,-2.994131,32.92,COL3A1,collagen type III alpha 1 chain
59284,1.06E-10,3.74E-11,0.446,-6.61395,-2.947457,31.81,CACNG7,calcium voltage-gated channel auxiliary subunit gamma 7
283768,1.06E-10,3.75E-11,0.347,-6.6137,-2.293282,48.75,GOLGA8G,golgin A8 family member G
655,1.06E-10,3.75E-11,0.426,-6.61361,-2.815063,34.37,BMP7,bone morphogenetic protein 7
101926967,1.06E-10,3.76E-11,0.319,6.61334,2.111139,41.94,ATXN7L3-AS1,ATXN7L3 antisense RNA 1
79091,1.07E-10,3.78E-11,0.189,6.61262,1.251529,268.83,METTL22,"methyltransferase 22, Kin17 lysine"
2194,1.08E-10,3.81E-11,0.247,6.61133,1.631785,277.12,FASN,fatty acid synthase
51738,1.09E-10,3.87E-11,0.255,6.60886,1.682316,77.46,GHRL,ghrelin and obestatin prepropeptide
101954267,1.10E-10,3.89E-11,0.737,6.60839,4.871644,19.18,RNVU1-15,"RNA, variant U1 small nuclear 15"
201853,1.10E-10,3.89E-11,0.494,-6.60814,-3.265038,29.97,LINC00504,long intergenic non-protein coding RNA 504
100302739,1.10E-10,3.91E-11,0.63,6.60756,4.161187,19.21,PCNA-AS1,PCNA antisense RNA 1
6608,1.10E-10,3.91E-11,0.345,-6.60731,-2.278334,49.28,SMO,"smoothened, frizzled class receptor"
54716,1.11E-10,3.92E-11,0.333,-6.60698,-2.198061,49.41,SLC6A20,solute carrier family 6 member 20
85026,1.11E-10,3.93E-11,0.365,6.60685,2.411714,44.36,ARRDC1-AS1,ARRDC1 antisense RNA 1
105370092,1.11E-10,3.93E-11,0.344,-6.60663,-2.272231,55.21,LOC105370092,uncharacterized LOC105370092
112268066,1.11E-10,3.94E-11,0.348,-6.60643,-2.296086,47.13,LOC112268066,
6474,1.11E-10,3.94E-11,0.56,-6.6064,-3.702418,27.36,SHOX2,short stature homeobox 2
912,1.11E-10,3.94E-11,0.295,6.60624,1.950182,118.04,CD1D,CD1d molecule
55867,1.13E-10,3.99E-11,0.399,-6.60439,-2.634255,37.14,SLC22A11,solute carrier family 22 member 11
406962,1.13E-10,3.99E-11,1.232,6.60432,8.135551,19.97,MIR186,microRNA 186
319089,1.13E-10,3.99E-11,0.354,-6.60428,-2.338906,47.29,TTC6,tetratricopeptide repeat domain 6
54626,1.13E-10,4.00E-11,0.41,-6.60391,-2.705469,38.91,HES2,hes family bHLH transcription factor 2
23563,1.13E-10,4.02E-11,0.532,-6.60329,-3.513295,29.22,CHST5,carbohydrate sulfotransferase 5
105378138,1.13E-10,4.02E-11,0.403,-6.6032,-2.659166,38.28,LOC105378138,
79949,1.14E-10,4.06E-11,0.329,-6.60183,-2.17333,48.94,PLEKHS1,pleckstrin homology domain containing S1
8864,1.14E-10,4.06E-11,0.209,6.60179,1.380294,166.82,PER2,period circadian regulator 2
28748,1.15E-10,4.07E-11,0.511,6.60152,3.372713,20.38,TRAJ7,T cell receptor alpha joining 7
10500,1.15E-10,4.08E-11,0.252,-6.60125,-1.663001,94.44,SEMA6C,semaphorin 6C
107984507,1.17E-10,4.14E-11,0.513,-6.59907,-3.38548,29.76,LOC107984507,uncharacterized LOC107984507
105378404,1.17E-10,4.16E-11,0.568,-6.59843,-3.749586,28.15,LOC105378404,uncharacterized LOC105378404
352961,1.17E-10,4.16E-11,0.324,6.59822,2.135032,56.12,HCG26,HLA complex group 26
388753,1.17E-10,4.17E-11,0.387,6.59793,2.550704,31.38,COA6,cytochrome c oxidase assembly factor 6
9180,1.18E-10,4.17E-11,0.217,6.59779,1.434944,128.55,OSMR,oncostatin M receptor
2918,1.18E-10,4.20E-11,0.377,-6.5969,-2.486996,43.89,GRM8,glutamate metabotropic receptor 8
81617,1.19E-10,4.22E-11,0.254,6.59602,1.677204,75.19,CAB39L,calcium binding protein 39 like
100132163,1.19E-10,4.23E-11,0.39,6.59589,2.574986,34.34,PHKA2-AS1,PHKA2 antisense RNA 1
3780,1.20E-10,4.27E-11,0.408,-6.59453,-2.690939,38.24,KCNN1,potassium calcium-activated channel subfamily N member 1
1070,1.20E-10,4.28E-11,0.403,6.59408,2.658101,30.56,CETN3,centrin 3
2833,1.20E-10,4.28E-11,0.35,6.59409,2.310973,47.99,CXCR3,C-X-C motif chemokine receptor 3
225689,1.21E-10,4.30E-11,0.42,-6.5933,-2.768691,37.02,MAPK15,mitogen-activated protein kinase 15
642968,1.21E-10,4.32E-11,0.321,-6.59281,-2.114543,58.05,FAM163B,family with sequence similarity 163 member B
159963,1.22E-10,4.33E-11,0.439,-6.59249,-2.892223,32.73,SLC5A12,solute carrier family 5 member 12
359809,1.22E-10,4.33E-11,0.236,6.59237,1.555443,116.63,PEG13,paternally expressed 13
253738,1.22E-10,4.35E-11,0.39,-6.5916,-2.567595,38.73,EBF3,EBF transcription factor 3
55086,1.23E-10,4.39E-11,0.359,6.59032,2.367473,42.99,RADX,"RPA1 related single stranded DNA binding protein, X-linked"
153579,1.24E-10,4.39E-11,0.327,-6.59024,-2.156148,60.69,BTNL9,butyrophilin like 9
57469,1.24E-10,4.42E-11,0.419,-6.58922,-2.764082,35.35,PNMA8B,PNMA family member 8B
653121,1.24E-10,4.42E-11,0.343,-6.5891,-2.263231,53.97,ZBTB8A,zinc finger and BTB domain containing 8A
101930112,1.26E-10,4.47E-11,0.298,6.58766,1.963262,53.54,LOC101930112,uncharacterized LOC101930112
8742,1.27E-10,4.51E-11,0.286,6.58642,1.884053,60.16,TNFSF12,TNF superfamily member 12
10282,1.27E-10,4.52E-11,0.293,6.58586,1.932027,93.35,BET1,Bet1 golgi vesicular membrane trafficking protein
22974,1.27E-10,4.53E-11,0.268,6.58552,1.765677,106.73,TPX2,TPX2 microtubule nucleation factor
63979,1.28E-10,4.57E-11,0.211,6.58441,1.387115,167.05,FIGNL1,fidgetin like 1
109623487,1.28E-10,4.57E-11,0.807,6.58441,5.315233,20.66,SNORD164,"small nucleolar RNA, C/D box 164"
26778,1.29E-10,4.60E-11,0.902,6.58347,5.939495,23.66,SNORA70,"small nucleolar RNA, H/ACA box 70"
60343,1.30E-10,4.62E-11,0.39,6.58268,2.569042,95.14,FAM3A,FAM3 metabolism regulating signaling molecule A
10677,1.31E-10,4.67E-11,0.242,6.58117,1.590284,123.76,AVIL,advillin
56139,1.32E-10,4.68E-11,0.418,-6.58076,-2.751887,36.59,PCDHA10,protocadherin alpha 10
23423,1.32E-10,4.71E-11,0.234,6.57994,1.538352,124.28,TMED3,transmembrane p24 trafficking protein 3
10549,1.34E-10,4.75E-11,0.443,6.57849,2.915003,31.09,PRDX4,peroxiredoxin 4
202181,1.34E-10,4.76E-11,0.26,6.57825,1.713096,84.72,LOC202181,SUMO interacting motifs containing 1 pseudogene
729668,1.34E-10,4.78E-11,0.393,-6.57763,-2.585632,39.15,GOLGA2P6,GOLGA2 pseudogene 6
80343,1.35E-10,4.79E-11,0.409,-6.57722,-2.689376,36.53,SEL1L2,SEL1L2 adaptor subunit of ERAD E3 ligase
80726,1.35E-10,4.81E-11,0.226,6.57682,1.486274,111.28,IQCN,IQ motif containing N
6367,1.35E-10,4.82E-11,0.445,-6.57645,-2.928427,33.42,CCL22,C-C motif chemokine ligand 22
10529,1.36E-10,4.85E-11,0.326,-6.57543,-2.141517,56.87,NEBL,nebulette
105377384,1.37E-10,4.89E-11,0.463,6.57424,3.046606,25.99,LOC105377384,uncharacterized LOC105377384
2911,1.37E-10,4.89E-11,0.355,-6.57417,-2.334475,49.23,GRM1,glutamate metabotropic receptor 1
718,1.37E-10,4.90E-11,0.289,-6.57404,-1.899741,88.49,C3,complement C3
7092,1.38E-10,4.90E-11,0.371,-6.57396,-2.437503,42.97,TLL1,tolloid like 1
105373874,1.38E-10,4.90E-11,0.351,-6.57383,-2.307865,44.95,LOC105373874,uncharacterized LOC105373874
10418,1.38E-10,4.91E-11,0.254,6.5736,1.671771,112.31,SPON1,spondin 1
105370928,1.38E-10,4.92E-11,0.299,-6.5734,-1.968529,64.95,LOC105370928,uncharacterized LOC105370928
55422,1.38E-10,4.92E-11,0.214,6.57326,1.405185,198.46,ZNF331,zinc finger protein 331
105371743,1.38E-10,4.93E-11,0.361,6.57294,2.370668,43.45,SNHG30,small nucleolar RNA host gene 30
3737,1.38E-10,4.94E-11,0.252,-6.57286,-1.65538,93.59,KCNA2,potassium voltage-gated channel subfamily A member 2
730,1.39E-10,4.96E-11,0.49,-6.57215,-3.223635,35.96,C7,complement C7
112268195,1.39E-10,4.97E-11,0.369,6.57197,2.42394,38.21,LOC112268195,
